,FACILITY_ID,FACILITY_NAME_1,FIPS_1,COUNTY,NAICS_1,REPORTING_YEAR,UNIT_NAME_1,UNIT_TYPE,FUEL_TYPE_1,TIER,Capacity_1 (mmBtu/hr),FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr
13168,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13169,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13170,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13171,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13172,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13173,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13174,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
12534,,Lockheed Martin,13067.0,,336.0,,SB1,,Gas 1,,5.0,,,,
12559,,Lockheed Martin,13067.0,,336.0,,SB1,,Gas 1,,5.0,,,,
12535,,Lockheed Martin,13067.0,,336.0,,SB2,,Gas 1,,5.0,,,,
12560,,Lockheed Martin,13067.0,,336.0,,SB2,,Gas 1,,5.0,,,,
12640,,Abbott Abbott Park,17097.0,,325.0,,Small Hot Water Heater Boilers,,Gas 1,,5.0,,,,
12651,,Abbott Abbott Park,17097.0,,325.0,,Small Hot Water Heater Boilers,,Gas 1,,5.0,,,,
12662,,Abbott Abbott Park,17097.0,,325.0,,Small Hot Water Heater Boilers,,Gas 1,,5.0,,,,
12673,,Abbott Abbott Park,17097.0,,325.0,,Small Hot Water Heater Boilers,,Gas 1,,5.0,,,,
12597,,Mitsubishi Motors NA,17113.0,,336.0,,Paint Shop,,Gas 1,,5.0,,,,
12608,,Mitsubishi Motors NA,17113.0,,336.0,,Paint Shop,,Gas 1,,5.0,,,,
12619,,Mitsubishi Motors NA,17113.0,,336.0,,Paint Shop,,Gas 1,,5.0,,,,
12598,,Mitsubishi Motors NA,17113.0,,336.0,,Penthouse,,Gas 1,,5.0,,,,
12609,,Mitsubishi Motors NA,17113.0,,336.0,,Penthouse,,Gas 1,,5.0,,,,
12620,,Mitsubishi Motors NA,17113.0,,336.0,,Penthouse,,Gas 1,,5.0,,,,
12783,,Caterpillar East Peoria,17143.0,,333.0,,Small Boilers,,Gas 1,,5.0,,,,
12788,,Caterpillar East Peoria,17143.0,,333.0,,Small Boilers,,Gas 1,,5.0,,,,
12793,,Caterpillar East Peoria,17143.0,,333.0,,Small Boilers,,Gas 1,,5.0,,,,
12798,,Caterpillar East Peoria,17143.0,,333.0,,Small Boilers,,Gas 1,,5.0,,,,
12803,,Caterpillar East Peoria,17143.0,,333.0,,Small Boilers,,Gas 1,,5.0,,,,
12808,,Caterpillar East Peoria,17143.0,,333.0,,Small Boilers,,Gas 1,,5.0,,,,
12813,,Caterpillar East Peoria,17143.0,,333.0,,Small Boilers,,Gas 1,,5.0,,,,
12818,,Caterpillar East Peoria,17143.0,,333.0,,Small Boilers,,Gas 1,,5.0,,,,
12823,,Caterpillar East Peoria,17143.0,,333.0,,Small Boilers,,Gas 1,,5.0,,,,
12828,,Caterpillar East Peoria,17143.0,,333.0,,Small Boilers,,Gas 1,,5.0,,,,
12641,,Toyota Princeton,18051.0,,336.0,,Small Packaged Boilers,,Gas 1,,5.0,,,,
12652,,Toyota Princeton,18051.0,,336.0,,Small Packaged Boilers,,Gas 1,,5.0,,,,
12663,,Toyota Princeton,18051.0,,336.0,,Small Packaged Boilers,,Gas 1,,5.0,,,,
12674,,Toyota Princeton,18051.0,,336.0,,Small Packaged Boilers,,Gas 1,,5.0,,,,
13176,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13177,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13178,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13179,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13180,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13181,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13182,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13183,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13184,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13185,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13186,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13187,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13188,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13189,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13190,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13191,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13192,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13193,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13194,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13195,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13196,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13197,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13198,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13199,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13200,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13201,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13202,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13203,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13204,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13205,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13206,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13207,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13208,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13209,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13210,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13211,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13212,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13213,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13214,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13215,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13216,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13217,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13218,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13219,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13220,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13221,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13222,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13223,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13224,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13225,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13226,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13227,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13228,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13229,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13230,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13231,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13232,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13233,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13234,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13235,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13236,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
13237,,Jayco Inc,18087.0,,336.0,,Group 1,,Gas 1,,5.0,,,,
12645,,B PWhiting Refinery,18089.0,,324.0,,Cal-A Warehouse,,Gas 1,,5.0,,,,
12656,,B PWhiting Refinery,18089.0,,324.0,,Cal-A Warehouse,,Gas 1,,5.0,,,,
12667,,B PWhiting Refinery,18089.0,,324.0,,Cal-A Warehouse,,Gas 1,,5.0,,,,
12678,,B PWhiting Refinery,18089.0,,324.0,,Cal-A Warehouse,,Gas 1,,5.0,,,,
12710,,Navistar Inc Indianapolis,18097.0,,336.0,,Boilers,,Gas 1,,5.0,,,,
12713,,Navistar Inc Indianapolis,18097.0,,336.0,,Boilers,,Gas 1,,5.0,,,,
12716,,Navistar Inc Indianapolis,18097.0,,336.0,,Boilers,,Gas 1,,5.0,,,,
12719,,Navistar Inc Indianapolis,18097.0,,336.0,,Boilers,,Gas 1,,5.0,,,,
12722,,Navistar Inc Indianapolis,18097.0,,336.0,,Boilers,,Gas 1,,5.0,,,,
12725,,Navistar Inc Indianapolis,18097.0,,336.0,,Boilers,,Gas 1,,5.0,,,,
12728,,Navistar Inc Indianapolis,18097.0,,336.0,,Boilers,,Gas 1,,5.0,,,,
12542,,Haynes International,18103.0,,331.0,,Boilers,,Gas 1,,5.0,,,,
12567,,Haynes International,18103.0,,331.0,,Boilers,,Gas 1,,5.0,,,,
13020,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13022,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13024,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13026,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13028,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13030,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13032,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13034,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13036,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13038,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13040,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13042,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13044,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13046,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13048,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13050,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13052,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13054,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13056,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13058,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13060,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13062,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13064,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13066,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13068,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13070,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13072,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
13074,,Arcelor Mittal Burns Harbor,18127.0,,331.0,,Boiler Group,,Gas 1,,5.0,,,,
12709,,Subaruof Indiana,18157.0,,336.0,,Boilers 1-9,,Gas 1,,5.0,,,,
12712,,Subaruof Indiana,18157.0,,336.0,,Boilers 1-9,,Gas 1,,5.0,,,,
12715,,Subaruof Indiana,18157.0,,336.0,,Boilers 1-9,,Gas 1,,5.0,,,,
12718,,Subaruof Indiana,18157.0,,336.0,,Boilers 1-9,,Gas 1,,5.0,,,,
12721,,Subaruof Indiana,18157.0,,336.0,,Boilers 1-9,,Gas 1,,5.0,,,,
12724,,Subaruof Indiana,18157.0,,336.0,,Boilers 1-9,,Gas 1,,5.0,,,,
12727,,Subaruof Indiana,18157.0,,336.0,,Boilers 1-9,,Gas 1,,5.0,,,,
12594,,Monsanto Muscatine,19139.0,,325.0,,Small Boilers (< 1 mmBtu/hr),,Gas 1,,5.0,,,,
12605,,Monsanto Muscatine,19139.0,,325.0,,Small Boilers (< 1 mmBtu/hr),,Gas 1,,5.0,,,,
12616,,Monsanto Muscatine,19139.0,,325.0,,Small Boilers (< 1 mmBtu/hr),,Gas 1,,5.0,,,,
12993,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
12994,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
12995,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
12996,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
12997,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
12998,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
12999,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13000,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13001,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13002,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13003,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13004,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13005,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13006,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13007,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13008,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13009,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13010,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13011,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13012,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13013,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13014,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13015,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
13016,,G EEngine Strother,20035.0,,336.0,,SmallGasBoilerGroup,,Gas 1,,5.0,,,,
12595,,Boeing-Wichita,20173.0,,336.0,,4,,Gas 1,,5.0,,,,
12606,,Boeing-Wichita,20173.0,,336.0,,4,,Gas 1,,5.0,,,,
12617,,Boeing-Wichita,20173.0,,336.0,,4,,Gas 1,,5.0,,,,
12536,,Spirit Aero,20173.0,,336.0,,"Boilers 34, 43, 44, and 51",,Gas 1,,5.0,,,,
12561,,Spirit Aero,20173.0,,336.0,,"Boilers 34, 43, 44, and 51",,Gas 1,,5.0,,,,
12537,,Spirit Aero,20173.0,,336.0,,"IPB boilers 41, 42, 64 & 65",,Gas 1,,5.0,,,,
12562,,Spirit Aero,20173.0,,336.0,,"IPB boilers 41, 42, 64 & 65",,Gas 1,,5.0,,,,
12538,,Spirit Aero,20173.0,,336.0,,"Other boilers:  24, 33, 49, 63",,Gas 1,,5.0,,,,
12563,,Spirit Aero,20173.0,,336.0,,"Other boilers:  24, 33, 49, 63",,Gas 1,,5.0,,,,
12970,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12971,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12972,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12973,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12974,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12975,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12976,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12977,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12978,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12979,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12980,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12981,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12982,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12983,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12984,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12985,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12986,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12987,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12988,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12989,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12990,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
12991,,Cessna Aircraft Co Pawnee,20173.0,,336.0,,Small Boilers 1,,Gas 1,,5.0,,,,
