FacilityID,CombustorID_common,Date,Fuel_Number,Fuel,Fuel_Other,Fuel_Rate,Fuel_Rate_Unit,Fuel_Rate_Unit_Other,SourceTab,In Waste Inventory? Opt 4,Test Burning Waste? Opt 4
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/20/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,0,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/21/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,479,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/21/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,28,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/21/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,9.6,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/21/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,0,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/22/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,464,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/22/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,25,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/22/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,25.7,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/22/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,5,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/23/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,491,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/23/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,28,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/23/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,19.4,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/23/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,0,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/24/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,431,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/24/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,28,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/24/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,15.3,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/24/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,0,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/25/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,426,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/25/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,26,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/25/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,15.6,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/25/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,3,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/26/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,435,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/26/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,26,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/26/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,18.3,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/26/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,8,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/27/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,612,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/27/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,24,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/27/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,6,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/27/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,0,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/28/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,533,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/28/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,28,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/28/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,7.6,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/28/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,0,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/29/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,493,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/29/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,34,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/29/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,10.8,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/29/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,0,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/30/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,458,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/30/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,26,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/30/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,15.8,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,6/30/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,14,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,7/1/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,432,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,7/1/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,29,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,7/1/2009,Fuel 3,Industrial Commercial or Municipal Sludge,If other fuel type is selected please specify in this cell,16.3,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,7/1/2009,Fuel 4,Natural gas,If other fuel type is selected please specify in this cell,1,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,7/10/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,428,mmBtu/hr,,Fuel Feed,,
ALIPCourtland,No. 3 Combination Boiler / 11Cu301,7/10/2009,Fuel 2,Tire Derived Fuel (TDF),If other fuel type is selected please specify in this cell,37,mmBtu/hr,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/10/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,638.1,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/10/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,33.6,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/10/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,92.7,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/10/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,1373,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/11/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,815.7,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/11/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,42.9,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/11/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,0,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/11/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,63931,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/12/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,765,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/12/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,40.3,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/12/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,51.2,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/12/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,73171,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/13/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,853.8,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/13/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,44.9,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/13/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,0,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/13/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,84158,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/14/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,854,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/14/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,44.9,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/14/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,0,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/14/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,90860,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/15/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,827,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/15/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,43.5,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/15/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,56.2,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/15/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,75347,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/16/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,766.8,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/16/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,40.4,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/16/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,0,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/16/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,72468,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/17/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,785.3,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/17/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,41.3,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/17/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,0,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/17/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,81202,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/18/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,785.6,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/18/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,41.3,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/18/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,0,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/18/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,58394,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/19/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,798.7,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/19/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,42,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/19/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,67.4,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/19/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,72303,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/20/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,636,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/20/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,33.5,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/20/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,0,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/20/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,66430,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/21/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,801.1,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/21/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,42.2,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/21/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,0,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/21/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,63360,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/22/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,834.8,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/22/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,43.9,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/22/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,0,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/22/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,69910,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/23/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,858.4,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/23/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,45.2,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/23/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,0,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/23/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,81720,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/24/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,839.7,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/24/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,44.2,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/24/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,0,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/24/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,82550,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/25/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,823.9,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/25/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,43.9,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/25/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,0,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/25/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,66740,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/26/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,886,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/26/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,46.8,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/26/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,0,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/26/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,70840,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/27/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,880.5,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/27/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,46.3,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/27/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,0,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/27/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,74130,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/28/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,862.8,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/28/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,45.4,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/28/2009,Fuel 3,No. 6 Residual oil,If other fuel type is selected please specify in this cell,0,Other: Please Explain,gallons/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/28/2009,Fuel 4,Biogas,If other fuel type is selected please specify in this cell,91410,Other: Please Explain,scf/day,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/29/2009,Fuel 1,Wood: Bark,If other fuel type is selected please specify in this cell,867.4,ton/day,,Fuel Feed,,
ALBoiseWhitePaperJackson,102-0001-Z013,8/29/2009,Fuel 2,Dewatered combustible residues,If other fuel type is selected please specify in this cell,45.7,ton/day,,Fuel Feed,,
