state,fips,county,eis_facility_id,company_name,site_name,naics_code,zip_code,eis_unit_id,unit_type,unit_description,design_capacity,design_capacity_uom,eis_process_id,process_description,calc_data_year,naics_sub,cap_mmbtuhr,fuel_type,data_source
OH,39095,Lucas,8418011,,BP-Husky Refining LLC (0448020007),324110,43697,105762613,Boiler,miscellaneous fired tank heaters at least includes tank heaters on t115 and t116.  these tank he...,6.0,E6BTU/HR,150365714,fired tank heaters service for tank heaters on t115 (500892) and t116 (500893).,,324,6.0,,NEI
OH,39095,Lucas,8418011,,BP-Husky Refining LLC (0448020007),324110,43697,105762713,Boiler,asphalt heaters for tanks 91 (t175) and 96 (t176),2.5,E6BTU/HR,150365814,asphalt tank heaters for tanks t175 (500091) and t176 (500096),,324,2.5,,NEI
OH,39021,Champaign,16538311,,"Weidmann Electrical Technology, Inc. (0111005006)",339999,43078,105814513,Boiler,600 bhp steam generator for building heat and for drying paper being produced,23.6,E6BTU/HR,150368414,steam generation,,339,23.6,,NEI
OH,39021,Champaign,16538311,,"Weidmann Electrical Technology, Inc. (0111005006)",339999,43078,105814613,Boiler,600 bhp steam generator for building heat and for drying paper being produced,23.6,E6BTU/HR,150368514,steam generation b002,,339,23.6,,NEI
OH,39021,Champaign,16538311,,"Weidmann Electrical Technology, Inc. (0111005006)",339999,43078,105814713,Boiler,600 bhp steam generator for building heat and for drying paper being produced,23.6,E6BTU/HR,150368614,steam generation b003,,339,23.6,,NEI
OH,39075,Holmes,14677211,,HOLMES BY-PRODUCTS INC. (0238000004),311119,44654,105747913,Boiler,"boiler with 20 mmbtu/hr wood-fired burner and 37.8 mmbtu/hr natural gas, no. 2 fuel oil or tallo...",37.2,E6BTU/HR,150376814,primary burner,,311,37.2,biomass,NEI
OH,39075,Holmes,16535211,,Winesburg Hardwood Lumber Co LLC (0238002007),321113,44624,105748713,Boiler,3.01 mmbtu/hr wood-fired boiler that supplies hot water for process and space heating.,3.01,E6BTU/HR,150377714,"wood-fired, low pressure boiler (hot water for process and space heating)",,321,3.01,biomass,NEI
OH,39085,Lake,6352711,,NOVA CHEMICALS INC (0243000012),325211,44077,105821813,Boiler,erie city 61.0 mmbtu/hr steam boiler supplementally burns landfill gas along with existing fuels...,61.0,E6BTU/HR,150379014,gas fired boiler - multiple fuel sources,,325,61.0,,NEI
OH,39085,Lake,6352711,,NOVA CHEMICALS INC (0243000012),325211,44077,105821913,Boiler,steam boiler g-101b rated at 61.0 mmbtu/hr suplementally burns landfill gas along with existing ...,61.0,E6BTU/HR,150379314,gas fired boiler - multiple fuel sources,,325,61.0,,NEI
OH,39093,Lorain,16535511,,METOKOTE CORP PLANT NO 9 (0247120821),332812,44054,105752013,Boiler,permanent exempt boiler - 3745-31-03(b)(1)(a),6.27,E6BTU/HR,150382514,6.27 mmbtu/hr gas boiler,,332,6.27,,NEI
OH,39093,Lorain,16535511,,METOKOTE CORP PLANT NO 9 (0247120821),332812,44054,105752113,Boiler,electrodeposition coating of miscellaneous metal parts,3.5,E6BTU/HR,150382614,nan,,332,3.5,,NEI
OH,39093,Lorain,16535511,,METOKOTE CORP PLANT NO 9 (0247120821),332812,44054,105752213,Boiler,electrodeposition coating of miscellaneous metal parts with a gas-fired bake oven (rated at 5.6 ...,3.5,E6BTU/HR,150382814,nan,,332,3.5,,NEI
KY,21013,Bell,6038711,Na,Smithfield Farmland Corp - Middlesboro,311613,40965,107173913,Boiler,natural gas-fired boiler. capacity: 16.7 mmbtu/hr,0.01,E6BTU/HR,151774414,"16.7 mmbtu/hr boiler, ng",,311,16.7,natural gas,NEI
KY,21013,Bell,6038711,Na,Smithfield Farmland Corp - Middlesboro,311613,40965,107174013,Boiler,various heaters less than 1 mmbtu,0.01,E6BTU/HR,151774514,heaters 5.32 mmbtu/hr ng,,311,5.32,natural gas,NEI
IL,17199,Williamson,4090511,Na,General Dynamics Ordnance & Tactical Systems Inc,332992,62959-6389,108630013,Boiler,boilers and air makeup unit,26.5,E6BTU/HR,153825714,natural gas combustion,,332,26.5,natural gas,NEI
PR,72045,Comerio,16795811,,Congar International,312230,00782,108631213,Boiler,boiler 1,0.01,E6BTU/HR,153826914,nan,,312,0.01,,NEI
PR,72045,Comerio,16795811,,Congar International,312230,00782,108631313,Boiler,boiler 2,0.01,E6BTU/HR,153827014,nan,,312,0.01,,NEI
PR,72137,Toa Baja,16795911,,"Pepsi Cola Puerto Rico Distributing, LLC",312111,00951,108631413,Boiler,boiler cleaver brooks 1,0.01,E6BTU/HR,153827114,nan,,312,0.01,,NEI
PR,72137,Toa Baja,16795911,,"Pepsi Cola Puerto Rico Distributing, LLC",312111,00951,108631513,Boiler,boiler superior 2,0.01,E6BTU/HR,153827214,nan,,312,0.01,,NEI
PR,72127,San Juan,16796011,,"Industria Lechera de PR, INC",311512,00936,108631613,Boiler,cleaver brooks boiler 655,0.01,E6BTU/HR,153827314,nan,,311,0.01,,NEI
PR,72127,San Juan,16796011,,"Industria Lechera de PR, INC",311512,00936,108631713,Boiler,cleaver brooks boiler 648,0.01,E6BTU/HR,153827414,nan,,311,0.01,,NEI
PR,72127,San Juan,16796011,,"Industria Lechera de PR, INC",311512,00936,108631813,Boiler,cleaver brooks boiler 600,0.01,E6BTU/HR,153827514,nan,,311,0.01,,NEI
PR,72127,San Juan,16796011,,"Industria Lechera de PR, INC",311512,00936,108631913,Boiler,cleaver brooks boiler cb101,0.01,E6BTU/HR,153827614,nan,,311,0.01,,NEI
PR,72073,Jayuya,7129911,Na,Baxter Healthcare of Puerto Rico,325412,00664,108632013,Boiler,boiler hurst,0.01,E6BTU/HR,153827714,nan,,325,0.01,,NEI
PR,72073,Jayuya,7129911,Na,Baxter Healthcare of Puerto Rico,325412,00664,108632113,Boiler,boiler cleaver brooks,0.01,E6BTU/HR,153827814,nan,,325,0.01,,NEI
PR,72073,Jayuya,7129911,Na,Baxter Healthcare of Puerto Rico,325412,00664,108632213,Boiler,boiler cleaver brooksboiler cleaver brooks,0.01,E6BTU/HR,153827914,nan,,325,0.01,,NEI
PR,72145,Vega Baja,7438911,Na,Pfizer Pharmaceuticals LLC (VB),325412,00694,108632913,Boiler,boiler 1 and 2,0.01,E6BTU/HR,153828614,nan,,325,0.01,,NEI
PR,72145,Vega Baja,7438911,Na,Pfizer Pharmaceuticals LLC (VB),325412,00694,108633013,Boiler,boiler 4,0.01,E6BTU/HR,153828714,nan,,325,0.01,,NEI
PR,72145,Vega Baja,7438911,Na,Pfizer Pharmaceuticals LLC (VB),325412,00694,108633113,Boiler,boiler 5,0.01,E6BTU/HR,153828814,nan,,325,0.01,,NEI
PR,72145,Vega Baja,7438911,Na,Pfizer Pharmaceuticals LLC (VB),325412,00694,108633213,Boiler,boiler 6,0.01,E6BTU/HR,153828914,nan,,325,0.01,,NEI
PR,72041,Cidra,16796311,,Caribbean Refrescos,312111,00739,108633613,Boiler,boiler model cb-250,0.01,E6BTU/HR,153829314,nan,,312,0.01,,NEI
PR,72041,Cidra,16796311,,Caribbean Refrescos,312111,00739,108633713,Boiler,package fire tube boiler bo-359,0.01,E6BTU/HR,153829414,nan,,312,0.01,,NEI
PR,72035,Cayey,16796411,,CCI Limited Partnership,312111,00737,108633813,Boiler,cleaver brooks boiler,0.01,E6BTU/HR,153829514,nan,,312,0.01,,NEI
PR,72035,Cayey,16796411,,CCI Limited Partnership,312111,00737,108633913,Boiler,cleaver brooks boiler,0.01,E6BTU/HR,153829614,nan,,312,0.01,,NEI
PR,72035,Cayey,16796411,,CCI Limited Partnership,312111,00737,108634013,Boiler,cleaver brooks boiler,0.01,E6BTU/HR,153829714,nan,,312,0.01,,NEI
PR,72035,Cayey,16796411,,CCI Limited Partnership,312111,00737,108634113,Boiler,dankstoker tdl-10 boiler,0.01,E6BTU/HR,153829814,nan,,312,0.01,,NEI
PR,72041,Cidra,16796511,,Club Caribe Distillers,312140,00739,108634213,Boiler,boiler hurst series euro model 4,0.01,E6BTU/HR,153829914,nan,,312,0.01,,NEI
PR,72041,Cidra,16796611,,"Pepsi Cola Manufacturing International, Limited",312111,00739,108634313,Boiler,boiler 1,0.01,E6BTU/HR,153830014,nan,,312,0.01,,NEI
PR,72041,Cidra,16796611,,"Pepsi Cola Manufacturing International, Limited",312111,00739,108634413,Boiler,boiler 2,0.01,E6BTU/HR,153830114,nan,,312,0.01,,NEI
NY,36015,Chemung,7822211,ANCHOR GLASS CONTAINER CORP,ANCHOR GLASS CONTAINER CORP,327213,14903,108634913,Boiler,nan,15.1,E6BTU/HR,153830614,nan,,327,15.1,,NEI
OH,39049,Franklin,7752211,Na,YENKIN MAJESTIC PAINT CORP (0125040262),325510,43219,108706613,Boiler,5.2 mmbh gas fired  boiler #3,5.2,E6BTU/HR,153851414,resin plant boiler 3,,325,5.2,,NEI
OH,39049,Franklin,7752211,Na,YENKIN MAJESTIC PAINT CORP (0125040262),325510,43219,108706713,Boiler,5.2 mmbh gas fired boiler #4,5.2,E6BTU/HR,153851514,940 process boiler 4,,325,5.2,,NEI
OH,39049,Franklin,7752211,Na,YENKIN MAJESTIC PAINT CORP (0125040262),325510,43219,108706813,Boiler,6.3 mmbh gas fired boiler #5,6.28,E6BTU/HR,153851614,940 warehouse boiler 5,,325,6.28,,NEI
OH,39049,Franklin,7752211,Na,YENKIN MAJESTIC PAINT CORP (0125040262),325510,43219,108706913,Boiler,8.4 mmbh gas fired boiler #2,8.4,E6BTU/HR,153851714,resin plant boiler 2,,325,8.4,,NEI
OH,39049,Franklin,7752211,Na,YENKIN MAJESTIC PAINT CORP (0125040262),325510,43219,108707013,Boiler,9.4 mmbh gas fired boiler #1,9.4,E6BTU/HR,153851814,resin plant boiler #1,,325,9.4,,NEI
OH,39049,Franklin,7752111,Na,"Plaskolite, LLC. (0125040915)",325211,43219-1026,86219413,Boiler,"surface coating operation #6, flowcoat line 2 with permanent total enclosure and regenerative th...",0.5,E6BTU/HR,153852914,flowcoat 2,2017.0,325,0.5,,NEI
OH,39049,Franklin,7752111,Na,"Plaskolite, LLC. (0125040915)",325211,43219-1026,108636913,Boiler,"surface coating operation #7, hardcoat line 2 with permanent total enclosure and regenerative th...",1.5,E6BTU/HR,153853014,hardcoat line 2,2017.0,325,1.5,,NEI
OH,39129,Pickaway,8163211,,"Aleris Rolled Products, Inc. (0165000045)",332311,43103-0197,108639313,Boiler,wide line primer coating and direct-fired curing oven controlled by a thermal oxidizer,21.0,E6BTU/HR,153856914,oven heater,,332,21.0,,NEI
OH,39129,Pickaway,8163211,,"Aleris Rolled Products, Inc. (0165000045)",332311,43103-0197,108639413,Boiler,wide line finish coating and direct-fired curing oven controlled by a thermal oxidizer,21.0,E6BTU/HR,153857214,finish coating line,2017.0,332,21.0,,NEI
OH,39129,Pickaway,7997011,,DuPont Specialty Products - Circleville (0165010004),326113,43113-9107,6406913,Boiler,vespel lines 1 and 2,5.0,E6BTU/HR,153857614,vespel thermal oxidizer,,326,5.0,,NEI
OH,39129,Pickaway,7997011,,DuPont Specialty Products - Circleville (0165010004),326113,43113-9107,6405913,Boiler,vespel lines 3 and 4,5.0,E6BTU/HR,153857914,vespel tox,,326,5.0,,NEI
OH,39007,Ashtabula,8118011,Na,Continental Structural Plastics of Ohio LLC aka CSP OH (0204020245),326199,44030,108641313,Boiler,7.3 mmbtu/hr natural gas & oil fired boiler no. 1,7.3,E6BTU/HR,153860714,nan,,326,7.3,fuel oil,NEI
OH,39007,Ashtabula,8118011,Na,Continental Structural Plastics of Ohio LLC aka CSP OH (0204020245),326199,44030,108641413,Boiler,7.3 mmbtu/hr natural gas & oil fired boiler no. 2,7.3,E6BTU/HR,153860814,nan,,326,7.3,fuel oil,NEI
OH,39019,Carroll,14676511,,"Imperial Aluminum - Minerva, LLC (0210000107)",331523,44657,89727713,Boiler,"reverberatory furnace utilizing oxyfuel, controlled by baghouse #2 (sly #2).",10.0,E6BTU/HR,153862614,fuel combustion,,331,10.0,,NEI
KY,21227,Warren,16834011,,Kobe Aluminum Automotive Products LLC,336211,42101,109034113,Boiler,3- boilers for heat treatment - .9 mmbtu/hr (ep19),0.01,E6BTU/HR,154429414,nat. gas usage,,336,19.0,,NEI
KY,21227,Warren,16834011,,Kobe Aluminum Automotive Products LLC,336211,42101,109036213,Boiler,2 boilers for alkaline pickling - 1.2 mmbtu/hr (ep,0.01,E6BTU/HR,154431814,2 boilers for alkaline picklin,,336,1.2,,NEI
WI,55035,Eau Claire,5940511,Na,BUSH BROTHERS & CO INC,311421,54722-7205,109250913,Boiler,hurst boiler 1,10.0,E6BTU/HR,154790814,natural gas,,311,10.0,natural gas,NEI
WI,55035,Eau Claire,5940511,Na,BUSH BROTHERS & CO INC,311421,54722-7205,109251013,Boiler,hurst boiler 2,10.0,E6BTU/HR,154791014,natural gas,,311,10.0,natural gas,NEI
WI,55063,La Crosse,4782011,Na,METALLICS INC,332812,54650,30742813,Boiler,industrial,12.6,E6BTU/HR,154791514,liquid propane,,332,12.6,,NEI
WI,55081,Monroe,6919511,Na,"SPARTEK, INC",326199,54656-2530,109251613,Boiler,b01 is a composite of twenty-three (23) space heating units and four (4) air makeup units located th,13.2,E6BTU/HR,154791814,space heaters,,326,13.2,,NEI
WI,55121,Trempealeau,7710011,Na,ASSOCIATED MILK PRODUCERS INC (AMPI)-WHEY,311511,54616,12421613,Boiler,mora spray dryer (whey drier)  ei: mora industries spray dryer main chamber,10.0,E6BTU/HR,154792214,natural gas,,311,10.0,natural gas,NEI
WI,55121,Trempealeau,7710011,Na,ASSOCIATED MILK PRODUCERS INC (AMPI)-WHEY,311511,54616,65125413,Boiler,natural gas usage for p31,10.0,E6BTU/HR,154792514,nan,,311,10.0,natural gas,NEI
WI,55121,Trempealeau,7710011,Na,ASSOCIATED MILK PRODUCERS INC (AMPI)-WHEY,311511,54616,12421513,Boiler,johnston 750 hp water tube boiler  ei: johnston 750 hp fire tube boiler,10.0,E6BTU/HR,154792614,natural gas,,311,10.0,natural gas,NEI
WI,55121,Trempealeau,7710111,Na,ASSOCIATED MILK PRODUCERS INC (AMPI)-CHEESE,311511,54616,12421013,Boiler,johnston 600 h.p. fire tube industrial,10.0,E6BTU/HR,154792714,natural gas,,311,10.0,natural gas,NEI
WI,55121,Trempealeau,7710111,Na,ASSOCIATED MILK PRODUCERS INC (AMPI)-CHEESE,311511,54616,12421113,Boiler,johnston 500 hp fire tube industrial,10.0,E6BTU/HR,154792814,natural gas,,311,10.0,natural gas,NEI
WI,55041,Forest,6747911,,NICOLET HARDWOODS CORP,321918,54541-9381,109251913,Boiler,10.5 mmbtu-hr clever brooks industrial boiler installed in 1993.  rated at 250 hp.  fires natural ga,10.5,E6BTU/HR,154793014,natural gas fired,,321,10.5,natural gas,NEI
WI,55073,Marathon,7080911,Na,IMPERIAL INDUSTRIES INC,332420,54474-7917,109253113,Boiler,general facility heating,8.7,E6BTU/HR,154794914,natural gas,,332,8.7,natural gas,NEI
WI,55107,Rusk,7648511,Na,"Dunn Paper - Ladysmith, LLC",322121,54848-2079,12517513,Boiler,boiler b-21 is a natural gas-lp gas fired industrial boiler used as the backup boiler at this facili,75.0,E6BTU/HR,154796114,natural gas,,322,75.0,natural gas,NEI
WI,55119,Taylor,7696511,Na,NESTLE PIZZA CO,311412,54451-1745,109253613,Boiler,new kemco (east),10.0,E6BTU/HR,154796914,new kemco (east),,311,10.0,,NEI
WI,55119,Taylor,7696511,Na,NESTLE PIZZA CO,311412,54451-1745,109253713,Boiler,new kemco (west),10.0,E6BTU/HR,154797014,new kemco (west),,311,10.0,,NEI
WI,55119,Taylor,7696611,Na,SIERRA PACIFIC WINDOWS,321911,54451-1738,109253813,Boiler,15 mmbtu-hr hurst industrial boiler-installed 2004,15.0,E6BTU/HR,154797114,natural gas,,321,15.0,natural gas,NEI
WI,55057,Juneau,6779611,,MASTERMOLD LLC PLT 3 MAUSTON,326199,53948,109257113,Boiler,boiler,10.0,E6BTU/HR,154805714,boiler,,326,10.0,,NEI
WI,55009,Brown,6616911,Na,GREEN BAY DRESSED BEEF,311611,54302-1807,109258513,Boiler,miura 300 hp boiler,10.0,E6BTU/HR,154807314,miura 300 hp boiler,,311,10.0,,NEI
WI,55003,Ashland,16845711,,BRETTING C G MFG CO,333243,54806-4967,109260413,Boiler,office basement boiler 5 (max rated capacity 0.399 mmbtu - hr),0.4,E6BTU/HR,154810414,nan,,333,0.4,,NEI
WI,55003,Ashland,16845711,,BRETTING C G MFG CO,333243,54806-4967,109260513,Boiler,main office boiler 1 (rated capacity 0.26 mmbtu-hr),0.52,E6BTU/HR,154810514,nan,,333,0.52,,NEI
WI,55003,Ashland,16845711,,BRETTING C G MFG CO,333243,54806-4967,109260613,Boiler,industrial parts washer - wash,0.2,E6BTU/HR,154810614,nan,,333,0.2,,NEI
WI,55003,Ashland,16845711,,BRETTING C G MFG CO,333243,54806-4967,109260813,Boiler,low temperature oven (1.539 mmbtu-hr),1.59,E6BTU/HR,154810814,nan,,333,1.59,,NEI
WI,55003,Ashland,16845711,,BRETTING C G MFG CO,333243,54806-4967,109260913,Boiler,main office boiler 2 (max rated capacity 0.26 mmbtu - hr),0.52,E6BTU/HR,154810914,natural gas,,333,0.52,natural gas,NEI
WI,55139,Winnebago,12708011,,OSHKOSH CORPORATION OAKWOOD FACILITY,336120,54904-6444,109261513,Boiler,facility-wide natural gas,10.0,E6BTU/HR,154811514,natural gas,,336,10.0,natural gas,NEI
WI,55127,Walworth,16845811,,PROFESSIONAL POWER PRODUCTS INC,335313,53114-1511,109262413,Boiler,facility heating,7.22,E6BTU/HR,154812914,facility heating,,335,7.22,,NEI
WI,55127,Walworth,16845811,,PROFESSIONAL POWER PRODUCTS INC,335313,53114-1511,109262713,Boiler,paint booth heating,10.0,E6BTU/HR,154813314,paint booth - natural gas,,335,10.0,natural gas,NEI
WI,55025,Dane,15039111,,MADISON-KIPP CORPORATION - SUN PRAIRIE,331523,53590-9179,109262813,Boiler,building space heating,10.0,E6BTU/HR,154813414,building space heating,,331,10.0,,NEI
PA,42091,Montgomery,2861811,ACCELLENT INC DBA LAKE REGION MEDICAL,LAKE REG MED/COLLEGEVILLE,331210,19426-2112,109266513,Boiler,plant 1 columbia boiler,3.36,E6BTU/HR,154818214,external combustion boilers  ;  industrial  ;  natural gas  ;  < 10 million btu/hr,,331,3.36,natural gas,NEI
PA,42049,Erie,9210011,ACCURIDE CORP,ACCURIDE ERIE LP/ERIE FORGE PLT,332112,16503-1520,109266613,Boiler,1995 (heat treat 2) quench tank,1.0,E6BTU/HR,154818314,industrial processes  ;  in-process fuel use  ;  natural gas  ;  general,,332,1.0,natural gas,NEI
PA,42077,Lehigh,3900011,SAMUEL ADAMS PA BREWERY CO,AMERICAN CRAFT BREWERY LLC/BREINIGSVILLE,312120,18031-1508,37122413,Boiler,boiler no.1,76.9,E6BTU/HR,154819714,external combustion boilers  ;  industrial  ;  distillate oil  ;  grades 1 and 2 oil,,312,76.9,fuel oil,NEI
PA,42077,Lehigh,3900011,SAMUEL ADAMS PA BREWERY CO,AMERICAN CRAFT BREWERY LLC/BREINIGSVILLE,312120,18031-1508,37123513,Boiler,boiler no.2,76.9,E6BTU/HR,154819814,external combustion boilers  ;  industrial  ;  distillate oil  ;  grades 1 and 2 oil,,312,76.9,fuel oil,NEI
PA,42045,Delaware,4723611,THE BOEING CO,BOEING CO PHILA/ RIDLEY PARK PA FAC,336411,19078,109268013,Boiler,cb - 5 boiler (bldg 4-14),49.0,E6BTU/HR,154820814,external combustion boilers  ;  industrial  ;  distillate oil  ;  10-100 million btu/hr **,,336,49.0,fuel oil,NEI
PA,42045,Delaware,4723611,THE BOEING CO,BOEING CO PHILA/ RIDLEY PARK PA FAC,336411,19078,109268113,Boiler,cb - 6 boiler (bldg 4-14),49.0,E6BTU/HR,154821014,external combustion boilers  ;  industrial  ;  distillate oil  ;  10-100 million btu/hr **,,336,49.0,fuel oil,NEI
PA,42045,Delaware,4723611,THE BOEING CO,BOEING CO PHILA/ RIDLEY PARK PA FAC,336411,19078,109268213,Boiler,cb - 7 boiler (bldg 4-14),49.0,E6BTU/HR,154821214,external combustion boilers  ;  industrial  ;  distillate oil  ;  10-100 million btu/hr **,,336,49.0,fuel oil,NEI
PA,42095,Northampton,16848511,,KRANOS CORP DBA SCHUTT RECONDITIONING,339920,18045-7817,109269913,Boiler,misc combustion units,0.01,E6BTU/HR,154823314,external combustion boilers  ;  commercial/institutional  ;  natural gas  ;  < 10 million btu/hr,,339,10.0,natural gas,NEI
PA,42071,Lancaster,3864411,DART CONTAINER CORP OF PA,DART CONTAINER CORP/LEOLA,326121,17540-1940,37175113,Boiler,cleaver brooks (600hp),25.1,E6BTU/HR,154823714,external combustion boilers  ;  industrial  ;  process gas  ;  other: specify in comments,,326,25.1,,NEI
PA,42071,Lancaster,3864411,DART CONTAINER CORP OF PA,DART CONTAINER CORP/LEOLA,326121,17540-1940,37176013,Boiler,orr-sembower (600hp),25.1,E6BTU/HR,154823814,external combustion boilers  ;  industrial  ;  process gas  ;  other: specify in comments,,326,25.1,,NEI
PA,42071,Lancaster,3864411,DART CONTAINER CORP OF PA,DART CONTAINER CORP/LEOLA,326121,17540-1940,37175813,Boiler,cleaver brooks (600hp),25.1,E6BTU/HR,154823914,external combustion boilers  ;  industrial  ;  process gas  ;  other: specify in comments,,326,25.1,,NEI
PA,42071,Lancaster,3864411,DART CONTAINER CORP OF PA,DART CONTAINER CORP/LEOLA,326121,17540-1940,37175613,Boiler,cleaver brooks (700hp),29.3,E6BTU/HR,154824014,external combustion boilers  ;  industrial  ;  process gas  ;  other: specify in comments,,326,29.3,,NEI
