FACILITY_ID,FACILITY_NAME,FIPS,COUNTY,NAICS,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,TIER,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr,tierID,FacilityID,UnitID,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS_sub,Zip,Num_Empl,FIPS_m,State,mactID
1000383.0,BIOGEN INC,25017.0,MIDDLESEX COUNTY,325414.0,2017.0,80-B-001,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,62.78,mmBtu/hr,29.39309145,gallons,4.05624662,0.000463042,233.0,,,,,,,,,,,,,
1000383.0,BIOGEN INC,25017.0,MIDDLESEX COUNTY,325414.0,2014.0,80-B-001,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,62.78,mmBtu/hr,19.5953943,gallons,2.704164413,0.000308695,235.0,,,,,,,,,,,,,
1000383.0,BIOGEN INC,25017.0,MIDDLESEX COUNTY,325414.0,2014.0,80-B-002,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,62.78,mmBtu/hr,0.0,gallons,0.0,0.0,237.0,,,,,,,,,,,,,
1000383.0,BIOGEN INC,25017.0,MIDDLESEX COUNTY,325414.0,2018.0,80-B-001,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,62.78,mmBtu/hr,9.797697149,gallons,1.3520822069999998,0.00015434700000000002,239.0,,,,,,,,,,,,,
1006235.0,Aladdin Manufacturing - Glasgow facility,51163.0,ROCKBRIDGE COUNTY,314110.0,2014.0,B6,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,72.0,mmBtu/hr,78.38157719,gallons,10.81665765,0.001234778,241.0,,,,,,,,,,,,,
1006467.0,White Springs Agricultural Chemical dba Nutrien,12047.0,HAMILTON COUNTY,325312.0,2011.0,SCC Aux Boiler,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,156.0,mmBtu/hr,401.7055831,gallons,55.43537047,0.006328239,242.0,,,,,,,,,,,,,
1006467.0,White Springs Agricultural Chemical dba Nutrien,12047.0,HAMILTON COUNTY,325312.0,2013.0,SCC Aux Boiler,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,156.0,mmBtu/hr,0.0,gallons,0.0,0.0,243.0,,,,,,,,,,,,,
1005966.0,Marathon Mandan Refinery,38059.0,MORTON,324110.0,2013.0,Boiler #3,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,200.0,mmBtu/hr,0.0,gallons,0.0,0.0,264.0,,,,,,,,,,,,,
1005669.0,APPLETON ROARING SPRING PAPER MFG,42013.0,BLAIR COUNTY,322121.0,2011.0,033 - No 4 Power Boiler,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,205.3,mmBtu/hr,0.0,gallons,0.0,0.0,266.0,,,,,,,,,,,,,
1005669.0,APPLETON ROARING SPRING PAPER MFG,42013.0,BLAIR COUNTY,322121.0,2012.0,033 - No 4 Power Boiler,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,205.3,mmBtu/hr,0.0,gallons,0.0,0.0,267.0,,,,,,,,,,,,,
1005669.0,APPLETON ROARING SPRING PAPER MFG,42013.0,BLAIR COUNTY,322121.0,2013.0,033 - No 4 Power Boiler,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,205.3,mmBtu/hr,0.0,gallons,0.0,0.0,268.0,,,,,,,,,,,,,
1005669.0,APPLETON ROARING SPRING PAPER MFG,42013.0,BLAIR COUNTY,322121.0,2010.0,033 - No 4 Power Boiler,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,205.3,mmBtu/hr,0.0,gallons,0.0,0.0,269.0,,,,,,,,,,,,,
1004343.0,Pfizer,25009.0,ESSEX COUNTY,325414.0,2018.0,Boiler #4 Cleaver Brooks WT200 CN3,CFB (Boiler  circulating fluidized bed),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,46.3,mmBtu/hr,68.58388004,gallons,9.464575446,0.001080431,277.0,,,,,,,,,,,,,
1004343.0,Pfizer,25009.0,ESSEX COUNTY,325414.0,2018.0,Boiler #3 Cleaver Brooks WT200 CN3,CFB (Boiler  circulating fluidized bed),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,46.3,mmBtu/hr,0.0,gallons,0.0,0.0,278.0,,,,,,,,,,,,,
1004343.0,Pfizer,25009.0,ESSEX COUNTY,325414.0,2010.0,Boiler #3 Cleaver Brooks WT200 CN3,CFB (Boiler  circulating fluidized bed),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,46.3,mmBtu/hr,254.7401259,gallons,35.15413737,0.004013029,279.0,,,,,,,,,,,,,
1004343.0,Pfizer,25009.0,ESSEX COUNTY,325414.0,2017.0,Boiler #4 Cleaver Brooks WT200 CN3,CFB (Boiler  circulating fluidized bed),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,46.3,mmBtu/hr,78.38157719,gallons,10.81665765,0.001234778,280.0,,,,,,,,,,,,,
1004343.0,Pfizer,25009.0,ESSEX COUNTY,325414.0,2011.0,Boiler #3 Cleaver Brooks WT200 CN3,CFB (Boiler  circulating fluidized bed),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,46.3,mmBtu/hr,176.3585487,gallons,24.33747972,0.002778251,281.0,,,,,,,,,,,,,
1004343.0,Pfizer,25009.0,ESSEX COUNTY,325414.0,2016.0,Boiler #4 Cleaver Brooks WT200 CN3,CFB (Boiler  circulating fluidized bed),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,46.3,mmBtu/hr,166.56085149999998,gallons,22.98539751,0.0026239040000000003,282.0,,,,,,,,,,,,,
1004343.0,Pfizer,25009.0,ESSEX COUNTY,325414.0,2015.0,Boiler #4 Cleaver Brooks WT200 CN3,CFB (Boiler  circulating fluidized bed),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,46.3,mmBtu/hr,323.3240059,gallons,44.61871282,0.00509346,283.0,,,,,,,,,,,,,
1004343.0,Pfizer,25009.0,ESSEX COUNTY,325414.0,2012.0,Boiler #3 Cleaver Brooks WT200 CN3,CFB (Boiler  circulating fluidized bed),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,46.3,mmBtu/hr,244.9424287,gallons,33.80205516,0.003858682,284.0,,,,,,,,,,,,,
1004343.0,Pfizer,25009.0,ESSEX COUNTY,325414.0,2016.0,Boiler #3 Cleaver Brooks WT200 CN3,CFB (Boiler  circulating fluidized bed),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,46.3,mmBtu/hr,107.7746686,gallons,14.87290427,0.00169782,285.0,,,,,,,,,,,,,
1004343.0,Pfizer,25009.0,ESSEX COUNTY,325414.0,2017.0,Boiler #3 Cleaver Brooks WT200 CN3,CFB (Boiler  circulating fluidized bed),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,46.3,mmBtu/hr,68.58388004,gallons,9.464575446,0.001080431,286.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312229.0,2015.0,Boiler #3/BO0302,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,247.0,mmBtu/hr,0.0,gallons,0.0,0.0,301.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312230.0,2015.0,Boiler #3/BO0302,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,247.0,mmBtu/hr,0.0,gallons,0.0,0.0,302.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312229.0,2016.0,Boiler #1/BO0501,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,148.6,mmBtu/hr,97.97697149,gallons,13.52082207,0.0015434729999999999,303.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312230.0,2016.0,Boiler #1/BO0501,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,148.6,mmBtu/hr,97.97697149,gallons,13.52082207,0.0015434729999999999,304.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312229.0,2012.0,Boiler #1/BO0501,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,148.6,mmBtu/hr,0.0,gallons,0.0,0.0,305.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312230.0,2012.0,Boiler #1/BO0501,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,148.6,mmBtu/hr,0.0,gallons,0.0,0.0,306.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312229.0,2017.0,Boiler #3/BO0302,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,247.0,mmBtu/hr,0.0,gallons,0.0,0.0,307.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312230.0,2017.0,Boiler #3/BO0302,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,247.0,mmBtu/hr,0.0,gallons,0.0,0.0,308.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312229.0,2016.0,Boiler #3/BO0302,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,247.0,mmBtu/hr,0.0,gallons,0.0,0.0,309.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312230.0,2016.0,Boiler #3/BO0302,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,247.0,mmBtu/hr,0.0,gallons,0.0,0.0,310.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312229.0,2017.0,Boiler #5/BO0701,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,155.0,mmBtu/hr,0.0,gallons,0.0,0.0,311.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312230.0,2017.0,Boiler #5/BO0701,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,155.0,mmBtu/hr,0.0,gallons,0.0,0.0,312.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312229.0,2018.0,Boiler #1/BO0501,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,148.6,mmBtu/hr,0.0,gallons,0.0,0.0,313.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312230.0,2018.0,Boiler #1/BO0501,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,148.6,mmBtu/hr,0.0,gallons,0.0,0.0,314.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312229.0,2015.0,Boiler #5/BO0701,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,155.0,mmBtu/hr,0.0,gallons,0.0,0.0,315.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312230.0,2015.0,Boiler #5/BO0701,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,155.0,mmBtu/hr,0.0,gallons,0.0,0.0,316.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312229.0,2017.0,Boiler #1/BO0501,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,148.6,mmBtu/hr,0.0,gallons,0.0,0.0,317.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312230.0,2017.0,Boiler #1/BO0501,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,148.6,mmBtu/hr,0.0,gallons,0.0,0.0,318.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312229.0,2018.0,Boiler #5/BO0701,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,155.0,mmBtu/hr,0.0,gallons,0.0,0.0,319.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312230.0,2018.0,Boiler #5/BO0701,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,155.0,mmBtu/hr,0.0,gallons,0.0,0.0,320.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312229.0,2018.0,Boiler #3/BO0302,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,247.0,mmBtu/hr,0.0,gallons,0.0,0.0,321.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312230.0,2018.0,Boiler #3/BO0302,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,247.0,mmBtu/hr,0.0,gallons,0.0,0.0,322.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312229.0,2016.0,Boiler #5/BO0701,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,155.0,mmBtu/hr,0.0,gallons,0.0,0.0,323.0,,,,,,,,,,,,,
1006268.0,PHILIP MORRIS USA PARK 500 SITE,51041.0,CHESTERFIELD COUNTY,312230.0,2016.0,Boiler #5/BO0701,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,155.0,mmBtu/hr,0.0,gallons,0.0,0.0,324.0,,,,,,,,,,,,,
1000338.0,TORAY PLASTICS (AMERICA)  INC.,44009.0,WASHINGTON,326113.0,2014.0,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,40.4,mmBtu/hr,0.0,gallons,0.0,0.0,325.0,,,,,,,,,,,,,
1000338.0,TORAY PLASTICS (AMERICA)  INC.,44009.0,WASHINGTON,326113.0,2015.0,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,40.4,mmBtu/hr,0.0,gallons,0.0,0.0,327.0,,,,,,,,,,,,,
1000338.0,TORAY PLASTICS (AMERICA)  INC.,44009.0,WASHINGTON,326113.0,2013.0,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,40.4,mmBtu/hr,235.1447316,gallons,32.44997296,0.003704335,329.0,,,,,,,,,,,,,
1000338.0,TORAY PLASTICS (AMERICA)  INC.,44009.0,WASHINGTON,326113.0,2017.0,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,40.4,mmBtu/hr,0.0,gallons,0.0,0.0,331.0,,,,,,,,,,,,,
1000338.0,TORAY PLASTICS (AMERICA)  INC.,44009.0,WASHINGTON,326113.0,2016.0,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,40.4,mmBtu/hr,19.5953943,gallons,2.704164413,0.000308695,333.0,,,,,,,,,,,,,
1000338.0,TORAY PLASTICS (AMERICA)  INC.,44009.0,WASHINGTON,326113.0,2018.0,Boiler 3,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,98.5,mmBtu/hr,450.69406889999993,gallons,62.195781499999995,0.007099975,335.0,,,,,,,,,,,,,
1000338.0,TORAY PLASTICS (AMERICA)  INC.,44009.0,WASHINGTON,326113.0,2017.0,Boiler 3,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,98.5,mmBtu/hr,88.17927434,gallons,12.16873986,0.001389126,337.0,,,,,,,,,,,,,
1000338.0,TORAY PLASTICS (AMERICA)  INC.,44009.0,WASHINGTON,326113.0,2018.0,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,40.4,mmBtu/hr,29.39309145,gallons,4.05624662,0.000463042,339.0,,,,,,,,,,,,,
1005997.0,PETRO STAR VALDEZ REFINERY,2261.0,VALDEZ CORDOVA,324110.0,2010.0,400 HP Utility Boiler,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,16.8,mmBtu/hr,68.58388004,gallons,9.464575446,0.001080431,341.0,,,,,,,,,,,,,
1006128.0,GLAXOSMITHKLINE KING OF PRUSSIA FAC,42091.0,MONTGOMERY,325412.0,2011.0,CU045,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,10.0,mmBtu/hr,0.0,gallons,0.0,0.0,356.0,,,,,,,,,,,,,
1006128.0,GLAXOSMITHKLINE KING OF PRUSSIA FAC,42091.0,MONTGOMERY,325412.0,2011.0,CU044,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,10.0,mmBtu/hr,0.0,gallons,0.0,0.0,357.0,,,,,,,,,,,,,
1004316.0,Bristol-Myers Squibb,9009.0,NEW HAVEN COUNTY,325412.0,2013.0,Cleaver Brooks DL-68,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,68.0,mmBtu/hr,0.0,gallons,0.0,0.0,368.0,,,,,,,,,,,,,
1004316.0,Bristol-Myers Squibb,9009.0,NEW HAVEN COUNTY,325412.0,2010.0,Cleaver Brooks DL-68,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,68.0,mmBtu/hr,391.90788599999996,gallons,54.08328826,0.006173891,370.0,,,,,,,,,,,,,
1004316.0,Bristol-Myers Squibb,9009.0,NEW HAVEN COUNTY,325412.0,2013.0,Cleaver Brooks D-60,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,47.0,mmBtu/hr,0.0,gallons,0.0,0.0,372.0,,,,,,,,,,,,,
1004316.0,Bristol-Myers Squibb,9009.0,NEW HAVEN COUNTY,325412.0,2016.0,Cleaver Brooks DL-68,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,68.0,mmBtu/hr,0.0,gallons,0.0,0.0,374.0,,,,,,,,,,,,,
1004316.0,Bristol-Myers Squibb,9009.0,NEW HAVEN COUNTY,325412.0,2018.0,Cleaver Brooks D-60,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,47.0,mmBtu/hr,9.797697149,gallons,1.3520822069999998,0.00015434700000000002,376.0,,,,,,,,,,,,,
1004316.0,Bristol-Myers Squibb,9009.0,NEW HAVEN COUNTY,325412.0,2012.0,Cleaver Brooks DL-68,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,68.0,mmBtu/hr,0.0,gallons,0.0,0.0,378.0,,,,,,,,,,,,,
1004316.0,Bristol-Myers Squibb,9009.0,NEW HAVEN COUNTY,325412.0,2017.0,Cleaver Brooks D-60,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,47.0,mmBtu/hr,0.0,gallons,0.0,0.0,380.0,,,,,,,,,,,,,
