FACILITY_ID,FACILITY_NAME,COUNTY_FIPS,COUNTY,NAICS,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,TIER,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2014,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),248,mmBtu/hr,,,108.0364377,gallons,15.01706485,0.001714277
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2014,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),248,mmBtu/hr,,,108.0364377,gallons,15.01706485,0.001714277
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2010,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),248,mmBtu/hr,,,68.75046038,gallons,9.556313993,0.001090903
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2010,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),248,mmBtu/hr,,,68.75046038,gallons,9.556313993,0.001090903
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2012,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),248,mmBtu/hr,,,49.1074717,gallons,6.825938567,0.000779217
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2012,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),248,mmBtu/hr,,,49.1074717,gallons,6.825938567,0.000779217
1003472,Superior Refining Company LLC,55031,DOUGLAS COUNTY,324110,2011,GP-Miscellaneous Engines,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),0.65,mmBtu/hr,,,0,gallons,0,0
1003472,Superior Refining Company LLC,55031,DOUGLAS,324110,2011,GP-Miscellaneous Engines,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),0.65,mmBtu/hr,,,0,gallons,0,0
1005395,BARROW UTILITIES & ELECTRIC,2185,NORTH SLOPE,221112,2017,GP-Centaurs,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),42.36,mmBtu/hr,,,78.57195472,gallons,10.92150171,0.001246747
1005395,BARROW UTILITIES & ELECTRIC,2185,NORTH SLOPE,221112,2018,GP-Centaurs,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),42.36,mmBtu/hr,,,108.0364377,gallons,15.01706485,0.001714277
1005395,BARROW UTILITIES & ELECTRIC,2185,NORTH SLOPE,221112,2010,GP-Centaurs,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),42.36,mmBtu/hr,,,88.39344906,gallons,12.28668942,0.00140259
1005395,BARROW UTILITIES & ELECTRIC,2185,NORTH SLOPE,221112,2016,GP-Centaurs,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),42.36,mmBtu/hr,,,127.6794264,gallons,17.74744027,0.002025964
1005395,BARROW UTILITIES & ELECTRIC,2185,NORTH SLOPE,221112,2015,GP-Centaurs,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),42.36,mmBtu/hr,,,166.9654038,gallons,23.20819113,0.002649337
1006759,KENT STATE UNIVERSITY HEATING PLANT (1667040085),39133,PORTAGE,611310,2013,GP-Power House Turbines,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),76.2,mmBtu/hr,,,39.28597736,gallons,5.460750853,0.000623373
1002078,Opal Gas Plant,56023,LINCOLN,211112,2013,GP-2,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),97.11,mmBtu/hr,,,88.39344906,gallons,12.28668942,0.00140259
1002078,Opal Gas Plant,56023,LINCOLN COUNTY,211112,2013,GP-2,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),97.11,mmBtu/hr,,,88.39344906,gallons,12.28668942,0.00140259
1002078,Opal Gas Plant,56023,LINCOLN COUNTY,211130,2013,GP-2,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),97.11,mmBtu/hr,,,88.39344906,gallons,12.28668942,0.00140259
1002966,Rapids Energy Center,27061,ITASCA,221330,2014,G01,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),,,0.486,mmBtu/hr,0,gallons,0,0
1001154,Itafos Conda LLC,16029,CARIBOU,325312,2013,GP-Total,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),213.8,mmBtu/hr,,,825.0055246,gallons,114.6757679,0.013090841
1004914,3M MAGNETIC TAPE MANUFACTURING DIVISION,27085,MCLEOD COUNTY,326199,2010,GP-Process,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),34.5,mmBtu/hr,,,117.8579321,gallons,16.38225256,0.00187012
1004914,3M MAGNETIC TAPE MANUFACTURING DIVISION,27085,MCLEOD COUNTY,322222,2010,GP-Process,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),34.5,mmBtu/hr,,,117.8579321,gallons,16.38225256,0.00187012
1003385,HEXCEL CORPORATION,1103,MORGAN,325222,2013,GP-0001,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),37.7,mmBtu/hr,,,0,gallons,0,0
1003385,HEXCEL CORPORATION,1103,MORGAN,325220,2013,GP-0001,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),37.7,mmBtu/hr,,,0,gallons,0,0
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2015,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),,,230,mmBtu/hr,90,gallons,12.51,0.001428082
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2015,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),,,230,mmBtu/hr,90,gallons,12.51,0.001428082
1003859,VISKASE CORPORATION,47105,LOUDON COUNTY,326121,2016,GP-Boilers 3 4 5,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),55.6,mmBtu/hr,,,0,gallons,0,0
1003859,VISKASE CORPORATION,47105,LOUDON,326121,2016,GP-Boilers 3 4 5,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),55.6,mmBtu/hr,,,0,gallons,0,0
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2016,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),248,mmBtu/hr,,,100,gallons,13.9,0.001586758
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2016,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),248,mmBtu/hr,,,100,gallons,13.9,0.001586758
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2015,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),248,mmBtu/hr,,,105,gallons,14.595,0.001666096
1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2015,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),248,mmBtu/hr,,,105,gallons,14.595,0.001666096
1004604,U.S. Army IMCOM and Fort Leonard Wood,29169,PULASKI,928110,2017,GP-Fuel Oil Combustion,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),42,mmBtu/hr,,,0,gallons,0,0
1003407,UNISEA - DUTCH HARBOR,2016,ALEUTIANS WEST,311710,2016,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),21.59,mmBtu/hr,,,0,gallons,0,0
1003407,UNISEA - DUTCH HARBOR,2016,ALEUTIANS WEST,311711,2016,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),21.59,mmBtu/hr,,,0,gallons,0,0
1003407,UNISEA - DUTCH HARBOR,2016,ALEUTIANS WEST,311710,2015,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),21.59,mmBtu/hr,,,0,gallons,0,0
1003407,UNISEA - DUTCH HARBOR,2016,ALEUTIANS WEST,311711,2015,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),21.59,mmBtu/hr,,,0,gallons,0,0
1003407,UNISEA - DUTCH HARBOR,2016,ALEUTIANS WEST,311710,2014,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),21.59,mmBtu/hr,,,0,gallons,0,0
1003407,UNISEA - DUTCH HARBOR,2016,ALEUTIANS WEST,311711,2014,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),21.59,mmBtu/hr,,,0,gallons,0,0
1006146,EIELSON AIR FORCE BASE,2090,FAIRBANKS NORTH STAR BOROUGH,928110,2017,GP-Rock Crusher,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),1.15,mmBtu/hr,,,0,gallons,0,0
1006146,EIELSON AIR FORCE BASE,2090,FAIRBANKS NORTH STAR BOROUGH,928110,2015,GP-Rock Crusher,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),1.15,mmBtu/hr,,,0,gallons,0,0
1001154,Itafos Conda LLC,16029,CARIBOU,325312,2015,GP-Total,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),213.8,mmBtu/hr,,,1125,gallons,156.375,0.017851027
1001154,Itafos Conda LLC,16029,CARIBOU,325312,2016,GP-Total,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),213.8,mmBtu/hr,,,1088,gallons,151.232,0.017263927
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3416,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,29,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3416,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,29,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3538,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,10.5,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3538,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,10.5,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3525,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,20,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3525,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,20,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3504,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,50,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3504,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,50,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3505,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,50,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3505,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,50,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3525,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,20,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3525,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,20,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3419,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,10.5,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3419,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,10.5,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3506,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,50,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3506,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,50,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3512,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,8.4,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3512,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,8.4,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3415,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,29,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3415,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,29,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3519,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,60,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3519,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,60,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2013,3515,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,60,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2013,3515,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,60,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2013,3415,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,29,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2013,3415,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,29,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3508,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,87.5,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3508,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,87.5,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3535,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,6.28,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3535,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,6.28,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3512,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,8.4,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3512,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,8.4,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2013,3525,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,20,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2013,3525,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,20,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2013,3514,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,60,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2013,3514,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,60,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2013,3524,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,20,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2013,3524,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,20,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3520,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,40,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3520,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,40,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,38891,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,3,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,38891,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,3,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,38891,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,3,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,38891,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,3,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2013,3538,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,10.5,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2013,3538,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,10.5,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3415,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,29,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3415,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,29,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3505,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,50,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3505,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,50,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3419,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,10.5,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3419,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,10.5,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2013,3501,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,80,mmBtu/hr,9.797697149,gallons,1.352082207,0.000154347
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2013,3501,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,80,mmBtu/hr,9.797697149,gallons,1.352082207,0.000154347
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2013,3512,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,8.4,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2013,3512,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,8.4,mmBtu/hr,0,gallons,0,0
1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2013,3505,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),,,50,mmBtu/hr,9.797697149,gallons,1.352082207,0.000154347
