index,FACILITY_ID,REPORTING_YEAR,FACILITY_NAME,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,FUEL_TYPE_OTHER,FUEL_TYPE_BLEND,COUNTY,COUNTY_FIPS,NAICS,TIER_2_METHOD_EQUATION,CO2_COMBUSTION_EMISSIONS,TIER2_CH4_COMBUSTION_EMISSIONS,TIER2_EQ_C2A_FUEL_QTY,TIER2_EQ_C2A_FUEL_QTY_UOM,TIER2_EQ_C2A_HHV,TIER2_EQ_C2A_HHV_UOM,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,AGG_CUMULATIVE_HEAT_INPUTCAP,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,INPUT_HEAT_CAPACITY_UNIT_OTHER,BOILER_RATIO_B,HIGH_HEAT_VALUE_UOM,ANNUAL_HHV,FUEL_COM,FUEL_UNIT,ENERGY_COM,ENERGY_UNIT,ENERGY_MMBtu_hr
916,1001477,2018,Edge Moor,Aux Boiler,OB (Boiler  other),Distillate Fuel Oil No. 2,,,New Castle,10003,221112,Tier 2 (Equation C-2a),76.7,0,7563,gallons/year,,,,,,14.8,mmBtu/hr,,,mmBtu/gallon,0.13719,7563,gallons,1037.56797,MMBtu,0.118443832
917,1001477,2018,Edge Moor,Aux Boiler,OB (Boiler  other),Distillate Fuel Oil No. 2,,,New Castle,10003,221112,Tier 2 (Equation C-2a),76.7,0,7563,gallons/year,,,,,,14.8,mmBtu/hr,,,mmBtu/scf,0.001037179,7563,gallons,7.844188163,MMBtu,0.000895455
967,1004373,2015,UNIVERSITY OF NOTRE DAME,B-5,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),12.1,0,1176.6,gallons/year,,,,,,244.5,mmBtu/hr,,,mmBtu/gallon,0.138982287,1176.6,gallons,163.526559,MMBtu,0.018667415
968,1004373,2015,UNIVERSITY OF NOTRE DAME,B-5,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),12.1,0,1176.6,gallons/year,,,,,,244.5,mmBtu/hr,,,mmBtu/scf,0.001032656,1176.6,gallons,1.215022645,MMBtu,0.000138701
977,1004373,2018,UNIVERSITY OF NOTRE DAME,B-5,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),15.5,0,1511,gallons/year,,,,,,244.5,mmBtu/hr,,,mmBtu/gallon,0.13911,1511,gallons,210.19521,MMBtu,0.023994887
978,1004373,2018,UNIVERSITY OF NOTRE DAME,B-5,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),15.5,0,1511,gallons/year,,,,,,244.5,mmBtu/hr,,,mmBtu/scf,0.001053629,1511,gallons,1.592032814,MMBtu,0.000181739
991,1004373,2016,UNIVERSITY OF NOTRE DAME,B-5,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),436.7,0.02,42511,gallons/year,,,,,,244.5,mmBtu/hr,,,mmBtu/gallon,0.138893291,42511,gallons,5904.492687,MMBtu,0.674028846
992,1004373,2016,UNIVERSITY OF NOTRE DAME,B-5,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),436.7,0.02,42511,gallons/year,,,,,,244.5,mmBtu/hr,,,mmBtu/scf,0.001042116,42511,gallons,44.30140214,MMBtu,0.005057238
995,1004373,2017,UNIVERSITY OF NOTRE DAME,B-5,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),0.6,0,56,gallons/year,,,,,,244.5,mmBtu/hr,,,mmBtu/gallon,0.140064,56,gallons,7.843584,MMBtu,0.000895386
996,1004373,2017,UNIVERSITY OF NOTRE DAME,B-5,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),0.6,0,56,gallons/year,,,,,,244.5,mmBtu/hr,,,mmBtu/scf,0.001037174,56,gallons,0.058081764,MMBtu,6.63034E-06
1009,1004373,2017,UNIVERSITY OF NOTRE DAME,B-6,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),25,0,2421,gallons/year,,,,,,249,mmBtu/hr,,,mmBtu/gallon,0.139427,2421,gallons,337.552767,MMBtu,0.038533421
1010,1004373,2017,UNIVERSITY OF NOTRE DAME,B-6,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),25,0,2421,gallons/year,,,,,,249,mmBtu/hr,,,mmBtu/scf,0.001038076,2421,gallons,2.513182205,MMBtu,0.000286893
1011,1004373,2016,UNIVERSITY OF NOTRE DAME,B-1,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),205,0.01,19919,gallons/year,,,,,,137,mmBtu/hr,,,mmBtu/gallon,0.139178616,19919,gallons,2772.298847,MMBtu,0.316472471
1012,1004373,2016,UNIVERSITY OF NOTRE DAME,B-1,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),205,0.01,19919,gallons/year,,,,,,137,mmBtu/hr,,,mmBtu/scf,0.001036788,19919,gallons,20.65178542,MMBtu,0.00235751
1050,1004373,2015,UNIVERSITY OF NOTRE DAME,B-1,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),30.9,0,3004,gallons/year,,,,,,137,mmBtu/hr,,,mmBtu/gallon,0.13891,3004,gallons,417.28564,MMBtu,0.047635347
1051,1004373,2015,UNIVERSITY OF NOTRE DAME,B-1,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),30.9,0,3004,gallons/year,,,,,,137,mmBtu/hr,,,mmBtu/scf,0.001033291,3004,gallons,3.104006593,MMBtu,0.000354339
1058,1004373,2016,UNIVERSITY OF NOTRE DAME,B-6,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),205.8,0.01,20023,gallons/year,,,,,,249,mmBtu/hr,,,mmBtu/gallon,0.138977,20023,gallons,2782.736471,MMBtu,0.317663981
1059,1004373,2016,UNIVERSITY OF NOTRE DAME,B-6,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),205.8,0.01,20023,gallons/year,,,,,,249,mmBtu/hr,,,mmBtu/scf,0.001042577,20023,gallons,20.87552465,MMBtu,0.002383051
1079,1004373,2015,UNIVERSITY OF NOTRE DAME,B-6,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),9.8,0,947.3,gallons/year,,,,,,249,mmBtu/hr,,,mmBtu/gallon,0.140190823,947.3,gallons,132.802767,MMBtu,0.015160133
1080,1004373,2015,UNIVERSITY OF NOTRE DAME,B-6,OB (Boiler  other),Distillate Fuel Oil No. 2,,,ST. JOSEPH COUNTY,18141,611310,Tier 2 (Equation C-2a),9.8,0,947.3,gallons/year,,,,,,249,mmBtu/hr,,,mmBtu/scf,0.001033653,947.3,gallons,0.979179825,MMBtu,0.000111779
1579,1001281,2015,Pratt & Whitney  East Hartford,Boiler #9,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Hartford,9003,336412,Tier 2 (Equation C-2a),268.2,0.01,26344,gallons/year,0.137652,mmBtu/gallon,,,,194,mmBtu/hr,,,mmBtu/scf,0.00102708,26344,gallons,27.05738775,MMBtu,0.003088743
1584,1001281,2017,Pratt & Whitney  East Hartford,Boiler #6,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Hartford,9003,336412,Tier 2 (Equation C-2a),243.5,0.01,24186,gallons/year,0.136137,mmBtu/gallon,,,,172,mmBtu/hr,,,mmBtu/scf,0.001027447,24186,gallons,24.84982644,MMBtu,0.002836738
1586,1001281,2017,Pratt & Whitney  East Hartford,Boiler #8,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Hartford,9003,336412,Tier 2 (Equation C-2a),996.5,0.04,118605,gallons/year,0.1136025,mmBtu/gallon,,,,194,mmBtu/hr,,,mmBtu/scf,0.001027457,118605,gallons,121.8615356,MMBtu,0.013911134
1589,1001281,2017,Pratt & Whitney  East Hartford,Boiler #9,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Hartford,9003,336412,Tier 2 (Equation C-2a),399.1,0.02,39653,gallons/year,0.136087,mmBtu/gallon,,,,194,mmBtu/hr,,,mmBtu/scf,0.001026641,39653,gallons,40.70937815,MMBtu,0.004647189
1592,1001281,2016,Pratt & Whitney  East Hartford,Boiler #9,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Hartford,9003,336412,Tier 2 (Equation C-2a),193.8,0.01,19079,gallons/year,,,,,,194,mmBtu/hr,,,mmBtu/gallon,0.137349034,19079,gallons,2620.482217,MMBtu,0.299141806
1593,1001281,2016,Pratt & Whitney  East Hartford,Boiler #9,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Hartford,9003,336412,Tier 2 (Equation C-2a),193.8,0.01,19079,gallons/year,,,,,,194,mmBtu/hr,,,mmBtu/scf,0.001027,19079,gallons,19.59412934,MMBtu,0.002236773
1600,1001281,2015,Pratt & Whitney  East Hartford,Boiler #6,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Hartford,9003,336412,Tier 2 (Equation C-2a),60.8,0,5975,gallons/year,0.137652,mmBtu/gallon,,,,172,mmBtu/hr,,,mmBtu/scf,0.00102753,5975,gallons,6.139493942,MMBtu,0.000700855
1605,1001281,2015,Pratt & Whitney  East Hartford,Boiler #8,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Hartford,9003,336412,Tier 2 (Equation C-2a),876,0.04,86155,gallons/year,0.137473,mmBtu/gallon,,,,194,mmBtu/hr,,,mmBtu/scf,0.001027185,86155,gallons,88.49710591,MMBtu,0.010102409
1612,1001281,2016,Pratt & Whitney  East Hartford,Boiler #8,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Hartford,9003,336412,Tier 2 (Equation C-2a),36.4,0,3584,gallons/year,,,,,,194,mmBtu/hr,,,mmBtu/gallon,0.137396617,3584,gallons,492.429476,MMBtu,0.056213411
1613,1001281,2016,Pratt & Whitney  East Hartford,Boiler #8,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Hartford,9003,336412,Tier 2 (Equation C-2a),36.4,0,3584,gallons/year,,,,,,194,mmBtu/hr,,,mmBtu/scf,0.001026988,3584,gallons,3.680723755,MMBtu,0.000420174
1806,1003703,2017,UNIVERSITY OF MISSOURI MU POWER PLANT,Boiler 12 (EP20),OB (Boiler  other),Distillate Fuel Oil No. 2,,,BOONE,29019,221112,Tier 2 (Equation C-2a),37.8,0,3689,gallons/year,0.1384,mmBtu/gallon,,,,324,mmBtu/hr,,,mmBtu/scf,0.0010246,3689,gallons,3.779751012,MMBtu,0.000431478
1807,1003703,2017,UNIVERSITY OF MISSOURI MU POWER PLANT,Boiler 12 (EP20),OB (Boiler  other),Distillate Fuel Oil No. 2,,,BOONE,29019,611310,Tier 2 (Equation C-2a),37.8,0,3689,gallons/year,0.1384,mmBtu/gallon,,,,324,mmBtu/hr,,,mmBtu/scf,0.0010246,3689,gallons,3.779751012,MMBtu,0.000431478
1925,1005959,2016,DOMTAR PAPER KINGSPORT MILL,82-0022-33,OB (Boiler  other),Distillate Fuel Oil No. 2,,,SULLIVAN COUNTY,47163,322121,Tier 2 (Equation C-2a),2986.2,0.12,292790,gallons/year,,,,,,544,mmBtu/hr,,,mmBtu/gallon,0.1379,292790,gallons,40375.741,MMBtu,4.609102854
1926,1005959,2016,DOMTAR PAPER KINGSPORT MILL,82-0022-33,OB (Boiler  other),Distillate Fuel Oil No. 2,,,SULLIVAN COUNTY,47163,322121,Tier 2 (Equation C-2a),2986.2,0.12,292790,gallons/year,,,,,,544,mmBtu/hr,,,mmBtu/short ton,9.780126377,292790,gallons,2863523.202,MMBtu,326.8862103
1937,1005959,2017,DOMTAR PAPER KINGSPORT MILL,82-0022-33,OB (Boiler  other),Distillate Fuel Oil No. 2,,,SULLIVAN COUNTY,47163,322121,Tier 2 (Equation C-2a),3174.6,0.13,311268,gallons/year,,,,,,544,mmBtu/hr,,,mmBtu/gallon,0.1379,311268,gallons,42923.8572,MMBtu,4.899983699
1938,1005959,2017,DOMTAR PAPER KINGSPORT MILL,82-0022-33,OB (Boiler  other),Distillate Fuel Oil No. 2,,,SULLIVAN COUNTY,47163,322121,Tier 2 (Equation C-2a),3174.6,0.13,311268,gallons/year,,,,,,544,mmBtu/hr,,,mmBtu/short ton,9.659620457,311268,gallons,3006730.74,MMBtu,343.2341028
2058,1000183,2017,Pixelle Specialty Solutions LLC,B013,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,Tier 2 (Equation C-2a),993.6,0.04,94608,gallons/year,,,,,,400,mmBtu/hr,,,mmBtu/gallon,0.142,94608,gallons,13434.336,MMBtu,1.5336
2065,1000183,2018,Pixelle Specialty Solutions LLC,B013,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Ross,39141,322121,Tier 2 (Equation C-2a),1793.4,0.07,171001,gallons/year,,,,,,400,mmBtu/hr,,,mmBtu/gallon,0.141801258,171001,gallons,24248.157,MMBtu,2.768054452
3057,1006703,2016,International Paper - Columbus Mill,MFPB,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,LOWNDES,28087,322110,Tier 2 (Equation C-2a),2123.3,0.09,205247,gallons/year,,,,,,1400,mmBtu/hr,,,mmBtu/gallon,0.139872697,205247,gallons,28708.45147,MMBtu,3.277220488
3058,1006703,2016,International Paper - Columbus Mill,MFPB,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,LOWNDES,28087,322110,Tier 2 (Equation C-2a),2123.3,0.09,205247,gallons/year,,,,,,1400,mmBtu/hr,,,mmBtu/scf,0.001011488,205247,gallons,207.604833,MMBtu,0.023699182
3059,1006703,2016,International Paper - Columbus Mill,MFPB,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,LOWNDES,28087,322110,Tier 2 (Equation C-2a),2123.3,0.09,205247,gallons/year,,,,,,1400,mmBtu/hr,,,mmBtu/short ton,15.80711022,205247,gallons,3244361.951,MMBtu,370.3609534
3060,1006703,2016,International Paper - Columbus Mill,MFPB,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,LOWNDES COUNTY,28087,322110,Tier 2 (Equation C-2a),2123.3,0.09,205247,gallons/year,,,,,,1400,mmBtu/hr,,,mmBtu/gallon,0.139872697,205247,gallons,28708.45147,MMBtu,3.277220488
3061,1006703,2016,International Paper - Columbus Mill,MFPB,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,LOWNDES COUNTY,28087,322110,Tier 2 (Equation C-2a),2123.3,0.09,205247,gallons/year,,,,,,1400,mmBtu/hr,,,mmBtu/scf,0.001011488,205247,gallons,207.604833,MMBtu,0.023699182
3062,1006703,2016,International Paper - Columbus Mill,MFPB,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,LOWNDES COUNTY,28087,322110,Tier 2 (Equation C-2a),2123.3,0.09,205247,gallons/year,,,,,,1400,mmBtu/hr,,,mmBtu/short ton,15.80711022,205247,gallons,3244361.951,MMBtu,370.3609534
3119,1006703,2014,International Paper - Columbus Mill,MFPB,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,LOWNDES,28087,322110,Tier 2 (Equation C-2a),509.1,0.02,50789,gallons/year,,,,,,1400,mmBtu/hr,,,mmBtu/gallon,0.135526655,50789,gallons,6883.2633,MMBtu,0.785760651
3120,1006703,2014,International Paper - Columbus Mill,MFPB,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,LOWNDES,28087,322110,Tier 2 (Equation C-2a),509.1,0.02,50789,gallons/year,,,,,,1400,mmBtu/hr,,,mmBtu/scf,0.001009804,50789,gallons,51.28694266,MMBtu,0.005854674
3121,1006703,2014,International Paper - Columbus Mill,MFPB,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,LOWNDES,28087,322110,Tier 2 (Equation C-2a),509.1,0.02,50789,gallons/year,,,,,,1400,mmBtu/hr,,,mmBtu/short ton,16.09282853,50789,gallons,817338.6682,MMBtu,93.30350093
3122,1006703,2014,International Paper - Columbus Mill,MFPB,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,LOWNDES COUNTY,28087,322110,Tier 2 (Equation C-2a),509.1,0.02,50789,gallons/year,,,,,,1400,mmBtu/hr,,,mmBtu/gallon,0.135526655,50789,gallons,6883.2633,MMBtu,0.785760651
3123,1006703,2014,International Paper - Columbus Mill,MFPB,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,LOWNDES COUNTY,28087,322110,Tier 2 (Equation C-2a),509.1,0.02,50789,gallons/year,,,,,,1400,mmBtu/hr,,,mmBtu/scf,0.001009804,50789,gallons,51.28694266,MMBtu,0.005854674
3124,1006703,2014,International Paper - Columbus Mill,MFPB,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,LOWNDES COUNTY,28087,322110,Tier 2 (Equation C-2a),509.1,0.02,50789,gallons/year,,,,,,1400,mmBtu/hr,,,mmBtu/short ton,16.09282853,50789,gallons,817338.6682,MMBtu,93.30350093
3851,1006889,2016,Coffeen,Auxillary Boiler,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Montgomery,17135,221112,Tier 2 (Equation C-2a),952,0.04,93325.99,gallons/year,,,,,,226,mmBtu/hr,,,mmBtu/gallon,0.137925676,93325.99,gallons,12872.05026,MMBtu,1.469412131
3853,1006889,2017,Coffeen,Auxillary Boiler,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Montgomery,17135,221112,Tier 2 (Equation C-2a),308.5,0.01,30386,gallons/year,,,,,,226,mmBtu/hr,,,mmBtu/gallon,0.137286165,30386,gallons,4171.57742,MMBtu,0.476207468
4178,1001995,2016,SAPPI CLOQUET LLC,EU 004,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,CARLTON,27017,322121,Tier 2 (Equation C-2a),1537.4,0.06,150237,gallons/year,,,,,,430,mmBtu/hr,,,mmBtu/gallon,0.138364562,150237,gallons,20787.47664,MMBtu,2.372999616
4179,1001995,2016,SAPPI CLOQUET LLC,EU 004,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,CARLTON,27017,322121,Tier 2 (Equation C-2a),1537.4,0.06,150237,gallons/year,,,,,,430,mmBtu/hr,,,mmBtu/scf,0.0010295,150237,gallons,154.6689915,MMBtu,0.017656278
4194,1001995,2017,SAPPI CLOQUET LLC,EU 004,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,CARLTON,27017,322121,Tier 2 (Equation C-2a),1377,0.06,135328,gallons/year,,,,,,430,mmBtu/hr,,,mmBtu/gallon,0.137577956,135328,gallons,18618.14958,MMBtu,2.125359541
4195,1001995,2017,SAPPI CLOQUET LLC,EU 004,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,CARLTON,27017,322121,Tier 2 (Equation C-2a),1377,0.06,135328,gallons/year,,,,,,430,mmBtu/hr,,,mmBtu/scf,0.001024612,135328,gallons,138.6586927,MMBtu,0.015828618
4202,1001995,2015,SAPPI CLOQUET LLC,EU 004,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,CARLTON,27017,322121,Tier 2 (Equation C-2a),851.8,0.03,82839,gallons/year,,,,,,430,mmBtu/hr,,,mmBtu/gallon,0.139024388,82839,gallons,11516.64124,MMBtu,1.314685074
4203,1001995,2015,SAPPI CLOQUET LLC,EU 004,S (Stoker Boiler),Distillate Fuel Oil No. 2,,,CARLTON,27017,322121,Tier 2 (Equation C-2a),851.8,0.03,82839,gallons/year,,,,,,430,mmBtu/hr,,,mmBtu/scf,0.001022863,82839,gallons,84.73295652,MMBtu,0.009672712
6326,1002792,2016,USDA-NATIONAL ANIMAL DISEASE CENTER,Boiler #1; EP S-10; 01-A-843,OB (Boiler  other),Distillate Fuel Oil No. 2,,,STORY COUNTY,19169,541711,Tier 2 (Equation C-2a),0.1,0,5.1,gallons/year,0.1352,mmBtu/gallon,,,,33.48,mmBtu/hr,,,mmBtu/scf,0.001052635,5.1,gallons,0.00536844,MMBtu,6.12836E-07
6327,1002792,2016,USDA-NATIONAL ANIMAL DISEASE CENTER,Boiler #1; EP S-10; 01-A-843,OB (Boiler  other),Distillate Fuel Oil No. 2,,,STORY COUNTY,19169,541715,Tier 2 (Equation C-2a),0.1,0,5.1,gallons/year,0.1352,mmBtu/gallon,,,,33.48,mmBtu/hr,,,mmBtu/scf,0.001052635,5.1,gallons,0.00536844,MMBtu,6.12836E-07
6328,1002792,2016,USDA-NATIONAL ANIMAL DISEASE CENTER,Boiler #1; EP S-10; 01-A-843,OB (Boiler  other),Distillate Fuel Oil No. 2,,,STORY,19169,541711,Tier 2 (Equation C-2a),0.1,0,5.1,gallons/year,0.1352,mmBtu/gallon,,,,33.48,mmBtu/hr,,,mmBtu/scf,0.001052635,5.1,gallons,0.00536844,MMBtu,6.12836E-07
6356,1002792,2016,USDA-NATIONAL ANIMAL DISEASE CENTER,Boiler #5; EP S-15; 06-A-113,OB (Boiler  other),Distillate Fuel Oil No. 2,,,STORY COUNTY,19169,541711,Tier 2 (Equation C-2a),0.6,0,59,gallons/year,0.1352,mmBtu/gallon,,,,45,mmBtu/hr,,,mmBtu/scf,0.001051465,59,gallons,0.06203646,MMBtu,7.08179E-06
6357,1002792,2016,USDA-NATIONAL ANIMAL DISEASE CENTER,Boiler #5; EP S-15; 06-A-113,OB (Boiler  other),Distillate Fuel Oil No. 2,,,STORY COUNTY,19169,541715,Tier 2 (Equation C-2a),0.6,0,59,gallons/year,0.1352,mmBtu/gallon,,,,45,mmBtu/hr,,,mmBtu/scf,0.001051465,59,gallons,0.06203646,MMBtu,7.08179E-06
6358,1002792,2016,USDA-NATIONAL ANIMAL DISEASE CENTER,Boiler #5; EP S-15; 06-A-113,OB (Boiler  other),Distillate Fuel Oil No. 2,,,STORY,19169,541711,Tier 2 (Equation C-2a),0.6,0,59,gallons/year,0.1352,mmBtu/gallon,,,,45,mmBtu/hr,,,mmBtu/scf,0.001051465,59,gallons,0.06203646,MMBtu,7.08179E-06
6389,1002792,2016,USDA-NATIONAL ANIMAL DISEASE CENTER,Boiler #3; EP S-1C; 05-A-290,OB (Boiler  other),Distillate Fuel Oil No. 2,,,STORY COUNTY,19169,541711,Tier 2 (Equation C-2a),13.6,0,1366,gallons/year,0.1349,mmBtu/gallon,,,,45,mmBtu/hr,,,mmBtu/scf,0.001054339,1366,gallons,1.440227342,MMBtu,0.00016441
