index,FACILITY_ID,FACILITY_NAME,COUNTY_FIPS,COUNTY,NAICS,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,FUEL_TYPE_OTHER,FUEL_TYPE_BLEND,TIER,CO2_COMBUSTION_EMISSIONS,CH4_COMBUSTION_EMISSIONS,FUEL_QUANTITY,FUEL_QUANTITY_UOM,AGGR_HIGH_HEAT_CAPACITY,AGGR_HIGH_HEAT_CAPACITY_UOM,AGG_CUMULATIVE_HEAT_INPUTCAP,INPUT_HEAT_CAPACITY,INPUT_HEAT_CAPACITY_UNIT,INPUT_HEAT_CAPACITY_UNIT_OTHER,FUEL_COM,FUEL_UNIT,ENERGY_COM,ENERGY_UNIT,ENERGY_MMBtu_hr
8401,1003472,Superior Refining Company LLC,55031,DOUGLAS,324110,2011,GP-Miscellaneous Engines,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,,,0.65,mmBtu/hr,,,,,0,gallons,0,MMBtu,0
9311,1005395,BARROW UTILITIES & ELECTRIC,2185,NORTH SLOPE,221112,2017,GP-Centaurs,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.8,0,,,42.36,mmBtu/hr,127.08,,,,78.57195472,gallons,10.92150171,MMBtu,0.001246747
9312,1005395,BARROW UTILITIES & ELECTRIC,2185,NORTH SLOPE,221112,2018,GP-Centaurs,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),1.1,0,,,42.36,mmBtu/hr,127.08,,,,108.0364377,gallons,15.01706485,MMBtu,0.001714277
9314,1005395,BARROW UTILITIES & ELECTRIC,2185,NORTH SLOPE,221112,2010,GP-Centaurs,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.9,0,,,42.36,mmBtu/hr,,,,,88.39344906,gallons,12.28668942,MMBtu,0.00140259
9318,1005395,BARROW UTILITIES & ELECTRIC,2185,NORTH SLOPE,221112,2016,GP-Centaurs,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),1.3,0,,,42.36,mmBtu/hr,,,,,127.6794264,gallons,17.74744027,MMBtu,0.002025964
9319,1005395,BARROW UTILITIES & ELECTRIC,2185,NORTH SLOPE,221112,2015,GP-Centaurs,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),1.7,0,,,42.36,mmBtu/hr,,,,,166.9654038,gallons,23.20819113,MMBtu,0.002649337
13573,1006759,KENT STATE UNIVERSITY HEATING PLANT (1667040085),39133,PORTAGE,611310,2013,GP-Power House Turbines,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.4,0,,,76.2,mmBtu/hr,,,,,39.28597736,gallons,5.460750853,MMBtu,0.000623373
15966,1002078,Opal Gas Plant,56023,LINCOLN,211112,2013,GP-2,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.9,0,,,97.11,mmBtu/hr,,,,,88.39344906,gallons,12.28668942,MMBtu,0.00140259
15967,1002078,Opal Gas Plant,56023,LINCOLN COUNTY,211112,2013,GP-2,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.9,0,,,97.11,mmBtu/hr,,,,,88.39344906,gallons,12.28668942,MMBtu,0.00140259
15968,1002078,Opal Gas Plant,56023,LINCOLN COUNTY,211130,2013,GP-2,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.9,0,,,97.11,mmBtu/hr,,,,,88.39344906,gallons,12.28668942,MMBtu,0.00140259
16650,1002966,Rapids Energy Center,27061,ITASCA,221330,2014,G01,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,,,,,,0.486,mmBtu/hr,,0,gallons,0,MMBtu,0
17256,1001154,Itafos Conda LLC,16029,CARIBOU,325312,2013,GP-Total,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),8.4,0,,,213.8,mmBtu/hr,,,,,825.0055246,gallons,114.6757679,MMBtu,0.013090841
17376,1004914,3M MAGNETIC TAPE MANUFACTURING DIVISION,27085,MCLEOD COUNTY,326199,2010,GP-Process,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),1.2,0,,,34.5,mmBtu/hr,,,,,117.8579321,gallons,16.38225256,MMBtu,0.00187012
17377,1004914,3M MAGNETIC TAPE MANUFACTURING DIVISION,27085,MCLEOD COUNTY,322222,2010,GP-Process,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),1.2,0,,,34.5,mmBtu/hr,,,,,117.8579321,gallons,16.38225256,MMBtu,0.00187012
18584,1003385,HEXCEL CORPORATION,1103,MORGAN,325222,2013,GP-0001,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,,,37.7,mmBtu/hr,,,,,0,gallons,0,MMBtu,0
18585,1003385,HEXCEL CORPORATION,1103,MORGAN,325220,2013,GP-0001,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,,,37.7,mmBtu/hr,,,,,0,gallons,0,MMBtu,0
64634,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2015,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.9,0,90,gallons/year,,,,230,mmBtu/hr,,90,gallons,12.51,MMBtu,0.001428082
64635,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2015,EU007,S (Stoker Boiler),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0.9,0,90,gallons/year,,,,230,mmBtu/hr,,90,gallons,12.51,MMBtu,0.001428082
67762,1003859,VISKASE CORPORATION,47105,LOUDON COUNTY,326121,2016,GP-Boilers 3 4 5,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,0,gallons/year,55.6,mmBtu/hr,,,,,0,gallons,0,MMBtu,0
67763,1003859,VISKASE CORPORATION,47105,LOUDON,326121,2016,GP-Boilers 3 4 5,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,0,gallons/year,55.6,mmBtu/hr,,,,,0,gallons,0,MMBtu,0
69469,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2016,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),1,0,100,gallons/year,248,mmBtu/hr,,,,,100,gallons,13.9,MMBtu,0.001586758
69470,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2016,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),1,0,100,gallons/year,248,mmBtu/hr,,,,,100,gallons,13.9,MMBtu,0.001586758
69471,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,SAINT LOUIS,221112,2015,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),1.1,0,105,gallons/year,248,mmBtu/hr,,,,,105,gallons,14.595,MMBtu,0.001666096
69472,1002484,HIBBING PUBLIC UTILITIES COMMISSION,27137,ST. LOUIS COUNTY,221112,2015,GP-01,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),1.1,0,105,gallons/year,248,mmBtu/hr,,,,,105,gallons,14.595,MMBtu,0.001666096
72363,1004604,U.S. Army IMCOM and Fort Leonard Wood,29169,PULASKI,928110,2017,GP-Fuel Oil Combustion,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,0,gallons/year,42,mmBtu/hr,182.8,,,,0,gallons,0,MMBtu,0
75398,1003407,UNISEA - DUTCH HARBOR,2016,ALEUTIANS WEST,311710,2016,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,0,gallons/year,21.59,mmBtu/hr,,,,,0,gallons,0,MMBtu,0
75399,1003407,UNISEA - DUTCH HARBOR,2016,ALEUTIANS WEST,311711,2016,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,0,gallons/year,21.59,mmBtu/hr,,,,,0,gallons,0,MMBtu,0
75404,1003407,UNISEA - DUTCH HARBOR,2016,ALEUTIANS WEST,311710,2015,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,0,gallons/year,21.59,mmBtu/hr,,,,,0,gallons,0,MMBtu,0
75405,1003407,UNISEA - DUTCH HARBOR,2016,ALEUTIANS WEST,311711,2015,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,0,gallons/year,21.59,mmBtu/hr,,,,,0,gallons,0,MMBtu,0
75414,1003407,UNISEA - DUTCH HARBOR,2016,ALEUTIANS WEST,311710,2014,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,0,gallons/year,21.59,mmBtu/hr,,,,,0,gallons,0,MMBtu,0
75415,1003407,UNISEA - DUTCH HARBOR,2016,ALEUTIANS WEST,311711,2014,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,0,gallons/year,21.59,mmBtu/hr,,,,,0,gallons,0,MMBtu,0
76673,1006146,EIELSON AIR FORCE BASE,2090,FAIRBANKS NORTH STAR BOROUGH,928110,2017,GP-Rock Crusher,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,0,gallons/year,1.15,mmBtu/hr,,,,,0,gallons,0,MMBtu,0
76677,1006146,EIELSON AIR FORCE BASE,2090,FAIRBANKS NORTH STAR BOROUGH,928110,2015,GP-Rock Crusher,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),0,0,0,gallons/year,1.15,mmBtu/hr,,,,,0,gallons,0,MMBtu,0
76918,1001154,Itafos Conda LLC,16029,CARIBOU,325312,2015,GP-Total,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),11.5,0,1125,gallons/year,213.8,mmBtu/hr,,,,,1125,gallons,156.375,MMBtu,0.017851027
76919,1001154,Itafos Conda LLC,16029,CARIBOU,325312,2016,GP-Total,OCS (Other combustion source),Distillate Fuel Oil No. 1,,,Tier 1 (Equation C-1),11.1,0,1088,gallons/year,213.8,mmBtu/hr,,,,,1088,gallons,151.232,MMBtu,0.017263927
27,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3416,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,29,mmBtu/hr,,0,gallons,0,MMBtu,0
28,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3416,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,29,mmBtu/hr,,0,gallons,0,MMBtu,0
31,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3538,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,10.5,mmBtu/hr,,0,gallons,0,MMBtu,0
32,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3538,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,10.5,mmBtu/hr,,0,gallons,0,MMBtu,0
35,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3525,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,20,mmBtu/hr,,0,gallons,0,MMBtu,0
36,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3525,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,20,mmBtu/hr,,0,gallons,0,MMBtu,0
43,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3504,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,50,mmBtu/hr,,0,gallons,0,MMBtu,0
44,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3504,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,50,mmBtu/hr,,0,gallons,0,MMBtu,0
49,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3505,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,50,mmBtu/hr,,0,gallons,0,MMBtu,0
50,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3505,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,50,mmBtu/hr,,0,gallons,0,MMBtu,0
51,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3525,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,20,mmBtu/hr,,0,gallons,0,MMBtu,0
52,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3525,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,20,mmBtu/hr,,0,gallons,0,MMBtu,0
53,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3419,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,10.5,mmBtu/hr,,0,gallons,0,MMBtu,0
54,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3419,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,10.5,mmBtu/hr,,0,gallons,0,MMBtu,0
55,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3506,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,50,mmBtu/hr,,0,gallons,0,MMBtu,0
56,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3506,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,50,mmBtu/hr,,0,gallons,0,MMBtu,0
59,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3512,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,8.4,mmBtu/hr,,0,gallons,0,MMBtu,0
60,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3512,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,8.4,mmBtu/hr,,0,gallons,0,MMBtu,0
67,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3415,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,29,mmBtu/hr,,0,gallons,0,MMBtu,0
68,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3415,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,29,mmBtu/hr,,0,gallons,0,MMBtu,0
73,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3519,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,60,mmBtu/hr,,0,gallons,0,MMBtu,0
74,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3519,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,60,mmBtu/hr,,0,gallons,0,MMBtu,0
79,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2013,3515,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,60,mmBtu/hr,,0,gallons,0,MMBtu,0
80,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2013,3515,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,60,mmBtu/hr,,0,gallons,0,MMBtu,0
81,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2013,3415,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,29,mmBtu/hr,,0,gallons,0,MMBtu,0
82,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2013,3415,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,29,mmBtu/hr,,0,gallons,0,MMBtu,0
85,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2012,3508,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,87.5,mmBtu/hr,,0,gallons,0,MMBtu,0
86,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2012,3508,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,87.5,mmBtu/hr,,0,gallons,0,MMBtu,0
87,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3535,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,6.28,mmBtu/hr,,0,gallons,0,MMBtu,0
88,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3535,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,6.28,mmBtu/hr,,0,gallons,0,MMBtu,0
97,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2011,3512,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,8.4,mmBtu/hr,,0,gallons,0,MMBtu,0
98,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2011,3512,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,8.4,mmBtu/hr,,0,gallons,0,MMBtu,0
99,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2013,3525,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,20,mmBtu/hr,,0,gallons,0,MMBtu,0
100,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2013,3525,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,20,mmBtu/hr,,0,gallons,0,MMBtu,0
101,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2013,3514,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,60,mmBtu/hr,,0,gallons,0,MMBtu,0
102,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS,928110,2013,3514,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,60,mmBtu/hr,,0,gallons,0,MMBtu,0
103,1001736,HILL AIR FORCE BASE: MAIN BASE,49011,DAVIS COUNTY,928110,2013,3524,OB (Boiler  other),Distillate Fuel Oil No. 2,,,Tier 1 (Equation C-1),0,0,,,,,,20,mmBtu/hr,,0,gallons,0,MMBtu,0
